EmployeeID,JobRole,CurrentSkill
40,Healthcare Representative,Customer Service
40,Healthcare Representative,Medical Records
40,Healthcare Representative,Communication
41,Laboratory Technician,Excel
41,Laboratory Technician,Data Entry
41,Laboratory Technician,Lab Safety
42,Sales Representative,Communication
42,Sales Representative,Salesforce
42,Sales Representative,Customer Service
42,Sales Representative,CRM
45,Research Scientist,Lab Equipment
45,Research Scientist,Data Analysis
45,Research Scientist,R
46,Research Scientist,R
46,Research Scientist,Data Analysis
46,Research Scientist,Statistics
46,Research Scientist,Lab Equipment
47,Sales Representative,CRM
47,Sales Representative,Communication
47,Sales Representative,Cold Calling
49,Sales Representative,Customer Service
49,Sales Representative,CRM
49,Sales Representative,Communication
51,Research Scientist,Data Analysis
51,Research Scientist,Statistics
51,Research Scientist,R
51,Research Scientist,Lab Equipment
52,Sales Executive,Lead Generation
52,Sales Executive,CRM Software
52,Sales Executive,Negotiation
52,Sales Executive,Excel
53,Laboratory Technician,Excel
53,Laboratory Technician,Data Entry
53,Laboratory Technician,Sample Preparation
54,Laboratory Technician,Lab Safety
54,Laboratory Technician,Quality Control
54,Laboratory Technician,Excel
55,Laboratory Technician,Sample Preparation
55,Laboratory Technician,Lab Safety
55,Laboratory Technician,Excel
56,Sales Executive,CRM Software
56,Sales Executive,Negotiation
56,Sales Executive,Excel
56,Sales Executive,Salesforce
57,Laboratory Technician,Data Entry
57,Laboratory Technician,Sample Preparation
57,Laboratory Technician,Quality Control
58,Research Director,R&D Strategy
58,Research Director,Grant Writing
58,Research Director,Leadership
60,Sales Executive,CRM Software
60,Sales Executive,Salesforce
60,Sales Executive,Lead Generation
61,Research Scientist,Lab Equipment
61,Research Scientist,R
61,Research Scientist,Machine Learning
61,Research Scientist,Statistics
62,Sales Executive,CRM Software
62,Sales Executive,Lead Generation
62,Sales Executive,Communication
63,Laboratory Technician,Quality Control
63,Laboratory Technician,Sample Preparation
64,Laboratory Technician,Quality Control
64,Laboratory Technician,Sample Preparation
64,Laboratory Technician,Excel
64,Laboratory Technician,Lab Safety
65,Laboratory Technician,Sample Preparation
65,Laboratory Technician,Data Entry
65,Laboratory Technician,Quality Control
68,Sales Executive,CRM Software
68,Sales Executive,Excel
68,Sales Executive,Salesforce
68,Sales Executive,Lead Generation
70,Healthcare Representative,Communication
70,Healthcare Representative,Medical Records
70,Healthcare Representative,Patient Care
70,Healthcare Representative,Customer Service
72,Sales Executive,Lead Generation
72,Sales Executive,CRM Software
72,Sales Executive,Salesforce
72,Sales Executive,Excel
73,Research Director,R&D Strategy
73,Research Director,Data Analysis
73,Research Director,Python
74,Sales Executive,Excel
74,Sales Executive,Salesforce
74,Sales Executive,Communication
74,Sales Executive,CRM Software
75,Laboratory Technician,Sample Preparation
75,Laboratory Technician,Lab Safety
76,Laboratory Technician,Sample Preparation
76,Laboratory Technician,Excel
76,Laboratory Technician,Quality Control
77,Manufacturing Director,Supply Chain
77,Manufacturing Director,Budgeting
77,Manufacturing Director,Operations Management
78,Manufacturing Director,ERP
78,Manufacturing Director,Budgeting
78,Manufacturing Director,Lean Six Sigma
79,Laboratory Technician,Quality Control
79,Laboratory Technician,Sample Preparation
79,Laboratory Technician,Data Entry
80,Research Director,Leadership
80,Research Director,Grant Writing
81,Sales Executive,Negotiation
81,Sales Executive,Excel
81,Sales Executive,CRM Software
83,Healthcare Representative,Medical Records
83,Healthcare Representative,Customer Service
83,Healthcare Representative,EMR Software
84,Manager,Performance Management
84,Manager,Project Management
84,Manager,Leadership
85,Manufacturing Director,Operations Management
85,Manufacturing Director,Supply Chain
85,Manufacturing Director,ERP
86,Research Scientist,Machine Learning
86,Research Scientist,R
86,Research Scientist,Statistics
88,Research Scientist,Python
88,Research Scientist,Machine Learning
88,Research Scientist,Statistics
88,Research Scientist,R
90,Research Scientist,Lab Equipment
90,Research Scientist,Python
90,Research Scientist,R
91,Sales Executive,Communication
91,Sales Executive,Excel
91,Sales Executive,Lead Generation
91,Sales Executive,Salesforce
94,Research Scientist,Machine Learning
94,Research Scientist,R
94,Research Scientist,Python
95,Research Scientist,Statistics
95,Research Scientist,Lab Equipment
95,Research Scientist,Machine Learning
95,Research Scientist,R
96,Research Scientist,Data Analysis
96,Research Scientist,Python
96,Research Scientist,Machine Learning
96,Research Scientist,Statistics
97,Laboratory Technician,Excel
97,Laboratory Technician,Lab Safety
97,Laboratory Technician,Quality Control
98,Manufacturing Director,Lean Six Sigma
98,Manufacturing Director,Budgeting
100,Sales Executive,Negotiation
100,Sales Executive,Communication
100,Sales Executive,CRM Software
101,Research Director,Grant Writing
101,Research Director,Leadership
102,Research Director,Grant Writing
102,Research Director,Data Analysis
102,Research Director,R&D Strategy
103,Human Resources,Workday
103,Human Resources,HRIS
103,Human Resources,Employee Relations
104,Laboratory Technician,Quality Control
104,Laboratory Technician,Sample Preparation
104,Laboratory Technician,Lab Safety
105,Research Scientist,Data Analysis
105,Research Scientist,R
105,Research Scientist,Machine Learning
105,Research Scientist,Python
106,Sales Executive,Negotiation
106,Sales Executive,Communication
106,Sales Executive,CRM Software
107,Research Scientist,Statistics
107,Research Scientist,Data Analysis
107,Research Scientist,Machine Learning
107,Research Scientist,Lab Equipment
110,Manufacturing Director,Supply Chain
110,Manufacturing Director,ERP
110,Manufacturing Director,Lean Six Sigma
110,Manufacturing Director,Budgeting
112,Manufacturing Director,ERP
112,Manufacturing Director,Operations Management
112,Manufacturing Director,Budgeting
113,Sales Representative,Communication
113,Sales Representative,Customer Service
113,Sales Representative,Cold Calling
116,Laboratory Technician,Excel
116,Laboratory Technician,Lab Safety
117,Healthcare Representative,EMR Software
117,Healthcare Representative,Customer Service
118,Sales Executive,Lead Generation
118,Sales Executive,Negotiation
118,Sales Executive,Salesforce
119,Healthcare Representative,Communication
119,Healthcare Representative,Customer Service
119,Healthcare Representative,Medical Records
120,Sales Executive,Negotiation
120,Sales Executive,Communication
120,Sales Executive,CRM Software
120,Sales Executive,Lead Generation
121,Sales Executive,CRM Software
121,Sales Executive,Communication
121,Sales Executive,Lead Generation
124,Healthcare Representative,EMR Software
124,Healthcare Representative,Medical Records
124,Healthcare Representative,Customer Service
125,Sales Executive,Excel
125,Sales Executive,CRM Software
125,Sales Executive,Salesforce
126,Research Director,Grant Writing
126,Research Director,Python
126,Research Director,Data Analysis
128,Sales Executive,Excel
128,Sales Executive,Communication
128,Sales Executive,Salesforce
128,Sales Executive,Lead Generation
129,Sales Executive,CRM Software
129,Sales Executive,Excel
129,Sales Executive,Salesforce
131,Sales Executive,Communication
131,Sales Executive,Excel
131,Sales Executive,CRM Software
132,Laboratory Technician,Lab Safety
132,Laboratory Technician,Quality Control
132,Laboratory Technician,Data Entry
133,Human Resources,Employee Relations
133,Human Resources,Compliance
133,Human Resources,Workday
133,Human Resources,Recruiting
134,Research Scientist,Data Analysis
134,Research Scientist,Statistics
134,Research Scientist,Lab Equipment
134,Research Scientist,Python
137,Laboratory Technician,Quality Control
137,Laboratory Technician,Excel
138,Research Scientist,Machine Learning
138,Research Scientist,Lab Equipment
138,Research Scientist,Data Analysis
138,Research Scientist,R
139,Healthcare Representative,Medical Records
139,Healthcare Representative,Customer Service
139,Healthcare Representative,Patient Care
140,Manager,Budgeting
140,Manager,Project Management
140,Manager,Performance Management
141,Research Director,Data Analysis
141,Research Director,Grant Writing
141,Research Director,R&D Strategy
141,Research Director,Leadership
142,Sales Executive,Salesforce
142,Sales Executive,Excel
142,Sales Executive,Lead Generation
143,Research Scientist,Lab Equipment
143,Research Scientist,Machine Learning
143,Research Scientist,Statistics
143,Research Scientist,Data Analysis
144,Laboratory Technician,Excel
144,Laboratory Technician,Data Entry
144,Laboratory Technician,Lab Safety
145,Healthcare Representative,Medical Records
145,Healthcare Representative,Communication
145,Healthcare Representative,Customer Service
147,Laboratory Technician,Sample Preparation
147,Laboratory Technician,Data Entry
147,Laboratory Technician,Excel
148,Manager,Performance Management
148,Manager,Budgeting
148,Manager,Strategic Planning
150,Laboratory Technician,Lab Safety
150,Laboratory Technician,Data Entry
150,Laboratory Technician,Excel
151,Research Scientist,Statistics
151,Research Scientist,Lab Equipment
151,Research Scientist,Machine Learning
151,Research Scientist,Python
152,Sales Executive,Negotiation
152,Sales Executive,Communication
152,Sales Executive,Excel
153,Manager,Strategic Planning
153,Manager,Project Management
153,Manager,Budgeting
154,Sales Executive,Communication
154,Sales Executive,Negotiation
154,Sales Executive,Excel
154,Sales Executive,Salesforce
154,Sales Executive,CRM Software
155,Laboratory Technician,Lab Safety
155,Laboratory Technician,Quality Control
155,Laboratory Technician,Sample Preparation
155,Laboratory Technician,Data Entry
158,Manager,Strategic Planning
158,Manager,Leadership
159,Research Scientist,R
159,Research Scientist,Python
159,Research Scientist,Lab Equipment
160,Sales Executive,CRM Software
160,Sales Executive,Negotiation
160,Sales Executive,Lead Generation
161,Research Scientist,Data Analysis
161,Research Scientist,R
161,Research Scientist,Lab Equipment
162,Research Director,Grant Writing
162,Research Director,Python
162,Research Director,Leadership
163,Sales Executive,CRM Software
163,Sales Executive,Negotiation
163,Sales Executive,Communication
163,Sales Executive,Salesforce
164,Research Scientist,R
164,Research Scientist,Data Analysis
164,Research Scientist,Python
164,Research Scientist,Statistics
164,Research Scientist,Lab Equipment
165,Healthcare Representative,Communication
165,Healthcare Representative,Medical Records
165,Healthcare Representative,Patient Care
167,Sales Representative,Customer Service
167,Sales Representative,CRM
167,Sales Representative,Salesforce
169,Laboratory Technician,Data Entry
169,Laboratory Technician,Quality Control
169,Laboratory Technician,Sample Preparation
170,Manufacturing Director,Lean Six Sigma
170,Manufacturing Director,Budgeting
170,Manufacturing Director,Operations Management
171,Research Scientist,Statistics
171,Research Scientist,Data Analysis
171,Research Scientist,Python
174,Sales Executive,CRM Software
174,Sales Executive,Negotiation
174,Sales Executive,Lead Generation
175,Sales Executive,Excel
175,Sales Executive,Salesforce
175,Sales Executive,Negotiation
175,Sales Executive,CRM Software
176,Sales Executive,Negotiation
176,Sales Executive,Salesforce
176,Sales Executive,Communication
177,Human Resources,Payroll
177,Human Resources,Workday
177,Human Resources,Recruiting
178,Manufacturing Director,Budgeting
178,Manufacturing Director,Operations Management
178,Manufacturing Director,Supply Chain
179,Manufacturing Director,Lean Six Sigma
179,Manufacturing Director,Budgeting
182,Sales Executive,Communication
182,Sales Executive,Lead Generation
182,Sales Executive,Negotiation
183,Sales Executive,Communication
183,Sales Executive,Lead Generation
183,Sales Executive,Negotiation
184,Human Resources,Compliance
184,Human Resources,Payroll
184,Human Resources,Employee Relations
184,Human Resources,Workday
190,Laboratory Technician,Sample Preparation
190,Laboratory Technician,Quality Control
192,Research Scientist,Data Analysis
192,Research Scientist,R
192,Research Scientist,Python
192,Research Scientist,Lab Equipment
193,Research Scientist,Machine Learning
193,Research Scientist,Lab Equipment
193,Research Scientist,R
193,Research Scientist,Python
194,Research Scientist,Machine Learning
194,Research Scientist,Data Analysis
194,Research Scientist,R
195,Sales Executive,Excel
195,Sales Executive,Lead Generation
195,Sales Executive,Negotiation
197,Research Scientist,Statistics
197,Research Scientist,Python
197,Research Scientist,R
198,Laboratory Technician,Excel
198,Laboratory Technician,Quality Control
198,Laboratory Technician,Sample Preparation
199,Manager,Performance Management
199,Manager,Project Management
199,Manager,Budgeting
200,Laboratory Technician,Data Entry
200,Laboratory Technician,Quality Control
200,Laboratory Technician,Sample Preparation
201,Laboratory Technician,Lab Safety
201,Laboratory Technician,Quality Control
201,Laboratory Technician,Excel
202,Research Scientist,Python
202,Research Scientist,Data Analysis
202,Research Scientist,R
202,Research Scientist,Machine Learning
204,Sales Executive,Lead Generation
204,Sales Executive,Salesforce
204,Sales Executive,Negotiation
205,Sales Representative,CRM
205,Sales Representative,Communication
205,Sales Representative,Cold Calling
206,Laboratory Technician,Quality Control
206,Laboratory Technician,Excel
206,Laboratory Technician,Lab Safety
207,Sales Executive,Negotiation
207,Sales Executive,CRM Software
207,Sales Executive,Excel
207,Sales Executive,Salesforce
208,Manufacturing Director,Operations Management
208,Manufacturing Director,Supply Chain
208,Manufacturing Director,Budgeting
211,Manufacturing Director,Budgeting
211,Manufacturing Director,Lean Six Sigma
211,Manufacturing Director,Supply Chain
214,Research Scientist,Lab Equipment
214,Research Scientist,Python
214,Research Scientist,Data Analysis
214,Research Scientist,R
215,Sales Executive,Communication
215,Sales Executive,Excel
215,Sales Executive,Salesforce
216,Sales Representative,Communication
216,Sales Representative,Customer Service
216,Sales Representative,Cold Calling
217,Research Scientist,R
217,Research Scientist,Statistics
217,Research Scientist,Machine Learning
218,Research Scientist,Machine Learning
218,Research Scientist,R
218,Research Scientist,Statistics
218,Research Scientist,Lab Equipment
221,Research Scientist,Data Analysis
221,Research Scientist,R
221,Research Scientist,Python
221,Research Scientist,Machine Learning
223,Healthcare Representative,Medical Records
223,Healthcare Representative,Customer Service
224,Research Scientist,Python
224,Research Scientist,Machine Learning
224,Research Scientist,Statistics
226,Manager,Strategic Planning
226,Manager,Leadership
226,Manager,Budgeting
227,Research Scientist,R
227,Research Scientist,Data Analysis
227,Research Scientist,Python
228,Sales Executive,Salesforce
228,Sales Executive,Communication
228,Sales Executive,CRM Software
230,Sales Executive,Communication
230,Sales Executive,Excel
230,Sales Executive,Negotiation
231,Research Scientist,Statistics
231,Research Scientist,Data Analysis
231,Research Scientist,Lab Equipment
233,Research Scientist,Machine Learning
233,Research Scientist,Lab Equipment
233,Research Scientist,R
235,Sales Representative,Communication
235,Sales Representative,CRM
238,Laboratory Technician,Data Entry
238,Laboratory Technician,Quality Control
239,Laboratory Technician,Excel
239,Laboratory Technician,Lab Safety
239,Laboratory Technician,Data Entry
240,Sales Executive,Negotiation
240,Sales Executive,Communication
240,Sales Executive,Salesforce
241,Research Scientist,Python
241,Research Scientist,Machine Learning
241,Research Scientist,Lab Equipment
242,Research Scientist,Lab Equipment
242,Research Scientist,Data Analysis
242,Research Scientist,R
243,Laboratory Technician,Lab Safety
243,Laboratory Technician,Excel
243,Laboratory Technician,Quality Control
244,Sales Executive,Negotiation
244,Sales Executive,Lead Generation
244,Sales Executive,Communication
245,Laboratory Technician,Lab Safety
245,Laboratory Technician,Excel
245,Laboratory Technician,Data Entry
246,Research Scientist,Lab Equipment
246,Research Scientist,Statistics
246,Research Scientist,Data Analysis
246,Research Scientist,Python
247,Research Scientist,Lab Equipment
247,Research Scientist,Data Analysis
247,Research Scientist,Machine Learning
248,Sales Representative,Customer Service
248,Sales Representative,Cold Calling
249,Laboratory Technician,Sample Preparation
249,Laboratory Technician,Excel
249,Laboratory Technician,Quality Control
250,Manufacturing Director,ERP
250,Manufacturing Director,Supply Chain
252,Research Scientist,Lab Equipment
252,Research Scientist,Statistics
252,Research Scientist,Machine Learning
253,Manager,Project Management
253,Manager,Strategic Planning
254,Research Director,Python
254,Research Director,R&D Strategy
254,Research Director,Leadership
256,Manufacturing Director,Supply Chain
256,Manufacturing Director,ERP
256,Manufacturing Director,Operations Management
258,Healthcare Representative,EMR Software
258,Healthcare Representative,Communication
258,Healthcare Representative,Medical Records
258,Healthcare Representative,Patient Care
259,Manager,Performance Management
259,Manager,Strategic Planning
259,Manager,Project Management
260,Research Scientist,R
260,Research Scientist,Lab Equipment
260,Research Scientist,Data Analysis
260,Research Scientist,Machine Learning
261,Manufacturing Director,Operations Management
261,Manufacturing Director,ERP
262,Research Scientist,Statistics
262,Research Scientist,Lab Equipment
262,Research Scientist,Machine Learning
262,Research Scientist,Python
264,Manager,Performance Management
264,Manager,Budgeting
264,Manager,Project Management
267,Research Scientist,Data Analysis
267,Research Scientist,Statistics
267,Research Scientist,R
267,Research Scientist,Machine Learning
269,Laboratory Technician,Sample Preparation
269,Laboratory Technician,Lab Safety
269,Laboratory Technician,Quality Control
270,Manufacturing Director,Supply Chain
270,Manufacturing Director,Operations Management
271,Manufacturing Director,Operations Management
271,Manufacturing Director,Supply Chain
271,Manufacturing Director,Lean Six Sigma
273,Manufacturing Director,Lean Six Sigma
273,Manufacturing Director,Operations Management
273,Manufacturing Director,Supply Chain
274,Manufacturing Director,Operations Management
274,Manufacturing Director,Budgeting
274,Manufacturing Director,ERP
275,Manufacturing Director,Supply Chain
275,Manufacturing Director,ERP
277,Research Scientist,Statistics
277,Research Scientist,Machine Learning
277,Research Scientist,R
277,Research Scientist,Lab Equipment
281,Laboratory Technician,Sample Preparation
281,Laboratory Technician,Excel
282,Healthcare Representative,EMR Software
282,Healthcare Representative,Medical Records
282,Healthcare Representative,Patient Care
283,Sales Executive,Lead Generation
283,Sales Executive,CRM Software
283,Sales Executive,Salesforce
284,Research Scientist,Python
284,Research Scientist,Machine Learning
284,Research Scientist,Lab Equipment
284,Research Scientist,Data Analysis
286,Laboratory Technician,Lab Safety
286,Laboratory Technician,Data Entry
286,Laboratory Technician,Quality Control
287,Healthcare Representative,Communication
287,Healthcare Representative,Customer Service
287,Healthcare Representative,EMR Software
287,Healthcare Representative,Patient Care
288,Healthcare Representative,Communication
288,Healthcare Representative,Medical Records
288,Healthcare Representative,Patient Care
291,Sales Executive,Lead Generation
291,Sales Executive,Excel
291,Sales Executive,Negotiation
292,Manufacturing Director,Budgeting
292,Manufacturing Director,Lean Six Sigma
293,Sales Executive,Communication
293,Sales Executive,Excel
293,Sales Executive,Lead Generation
293,Sales Executive,Salesforce
296,Research Director,Leadership
296,Research Director,R&D Strategy
297,Research Scientist,Data Analysis
297,Research Scientist,Python
297,Research Scientist,Machine Learning
298,Manager,Budgeting
298,Manager,Strategic Planning
298,Manager,Project Management
299,Sales Executive,Lead Generation
299,Sales Executive,Excel
299,Sales Executive,Communication
299,Sales Executive,Negotiation
300,Research Scientist,R
300,Research Scientist,Python
300,Research Scientist,Machine Learning
300,Research Scientist,Lab Equipment
302,Sales Executive,Salesforce
302,Sales Executive,Excel
302,Sales Executive,Communication
302,Sales Executive,Lead Generation
303,Sales Executive,Negotiation
303,Sales Executive,Lead Generation
303,Sales Executive,Excel
304,Laboratory Technician,Lab Safety
304,Laboratory Technician,Sample Preparation
304,Laboratory Technician,Data Entry
305,Research Scientist,Lab Equipment
305,Research Scientist,R
305,Research Scientist,Statistics
306,Research Director,Leadership
306,Research Director,Data Analysis
306,Research Director,Grant Writing
306,Research Director,Python
307,Sales Executive,Communication
307,Sales Executive,Salesforce
307,Sales Executive,Excel
308,Manufacturing Director,Supply Chain
308,Manufacturing Director,Operations Management
309,Research Scientist,Statistics
309,Research Scientist,Data Analysis
309,Research Scientist,R
311,Sales Representative,CRM
311,Sales Representative,Communication
311,Sales Representative,Cold Calling
312,Sales Executive,Negotiation
312,Sales Executive,Communication
312,Sales Executive,CRM Software
312,Sales Executive,Lead Generation
314,Sales Executive,Salesforce
314,Sales Executive,Excel
314,Sales Executive,Lead Generation
314,Sales Executive,CRM Software
315,Research Scientist,Python
315,Research Scientist,R
315,Research Scientist,Machine Learning
315,Research Scientist,Statistics
316,Laboratory Technician,Quality Control
316,Laboratory Technician,Lab Safety
316,Laboratory Technician,Sample Preparation
319,Manager,Project Management
319,Manager,Budgeting
319,Manager,Strategic Planning
321,Human Resources,Workday
321,Human Resources,HRIS
321,Human Resources,Recruiting
323,Manager,Budgeting
323,Manager,Project Management
323,Manager,Leadership
325,Laboratory Technician,Lab Safety
325,Laboratory Technician,Data Entry
327,Manager,Performance Management
327,Manager,Project Management
327,Manager,Leadership
328,Laboratory Technician,Data Entry
328,Laboratory Technician,Lab Safety
329,Manager,Project Management
329,Manager,Budgeting
329,Manager,Leadership
330,Sales Representative,Customer Service
330,Sales Representative,Cold Calling
330,Sales Representative,CRM
331,Laboratory Technician,Excel
331,Laboratory Technician,Lab Safety
331,Laboratory Technician,Sample Preparation
332,Laboratory Technician,Sample Preparation
332,Laboratory Technician,Quality Control
332,Laboratory Technician,Lab Safety
333,Sales Executive,Negotiation
333,Sales Executive,Communication
333,Sales Executive,Lead Generation
334,Research Scientist,Statistics
334,Research Scientist,Lab Equipment
334,Research Scientist,Python
335,Research Scientist,R
335,Research Scientist,Machine Learning
335,Research Scientist,Lab Equipment
335,Research Scientist,Data Analysis
336,Manager,Performance Management
336,Manager,Strategic Planning
337,Research Director,R&D Strategy
337,Research Director,Leadership
338,Research Scientist,Python
338,Research Scientist,R
338,Research Scientist,Lab Equipment
338,Research Scientist,Statistics
339,Manufacturing Director,ERP
339,Manufacturing Director,Lean Six Sigma
339,Manufacturing Director,Supply Chain
340,Research Scientist,Lab Equipment
340,Research Scientist,Statistics
340,Research Scientist,R
341,Manufacturing Director,Budgeting
341,Manufacturing Director,ERP
342,Manufacturing Director,Supply Chain
342,Manufacturing Director,Lean Six Sigma
342,Manufacturing Director,Operations Management
342,Manufacturing Director,Budgeting
343,Healthcare Representative,EMR Software
343,Healthcare Representative,Patient Care
343,Healthcare Representative,Medical Records
346,Research Scientist,Python
346,Research Scientist,Statistics
346,Research Scientist,Lab Equipment
346,Research Scientist,Data Analysis
347,Research Scientist,Data Analysis
347,Research Scientist,Lab Equipment
347,Research Scientist,Machine Learning
349,Sales Executive,Communication
349,Sales Executive,Excel
349,Sales Executive,Negotiation
349,Sales Executive,CRM Software
350,Manufacturing Director,Operations Management
350,Manufacturing Director,Lean Six Sigma
350,Manufacturing Director,ERP
351,Laboratory Technician,Lab Safety
351,Laboratory Technician,Excel
351,Laboratory Technician,Data Entry
352,Research Director,Data Analysis
352,Research Director,Grant Writing
352,Research Director,R&D Strategy
352,Research Director,Python
353,Research Scientist,Data Analysis
353,Research Scientist,Python
353,Research Scientist,Lab Equipment
355,Laboratory Technician,Data Entry
355,Laboratory Technician,Lab Safety
355,Laboratory Technician,Sample Preparation
359,Laboratory Technician,Quality Control
359,Laboratory Technician,Sample Preparation
359,Laboratory Technician,Data Entry
361,Sales Executive,Communication
361,Sales Executive,Excel
361,Sales Executive,Salesforce
361,Sales Executive,Negotiation
362,Laboratory Technician,Excel
362,Laboratory Technician,Data Entry
363,Manager,Performance Management
363,Manager,Leadership
363,Manager,Strategic Planning
364,Laboratory Technician,Sample Preparation
364,Laboratory Technician,Excel
366,Sales Executive,Excel
366,Sales Executive,Lead Generation
366,Sales Executive,Negotiation
366,Sales Executive,Salesforce
367,Healthcare Representative,EMR Software
367,Healthcare Representative,Medical Records
367,Healthcare Representative,Communication
369,Healthcare Representative,Customer Service
369,Healthcare Representative,EMR Software
369,Healthcare Representative,Communication
372,Healthcare Representative,Customer Service
372,Healthcare Representative,Communication
373,Laboratory Technician,Excel
373,Laboratory Technician,Lab Safety
374,Manager,Strategic Planning
374,Manager,Leadership
376,Manager,Project Management
376,Manager,Budgeting
377,Research Scientist,R
377,Research Scientist,Lab Equipment
377,Research Scientist,Python
377,Research Scientist,Machine Learning
378,Sales Executive,CRM Software
378,Sales Executive,Excel
378,Sales Executive,Lead Generation
378,Sales Executive,Salesforce
379,Research Scientist,Machine Learning
379,Research Scientist,Data Analysis
379,Research Scientist,Python
379,Research Scientist,R
380,Research Director,Leadership
380,Research Director,R&D Strategy
380,Research Director,Grant Writing
380,Research Director,Python
381,Manager,Strategic Planning
381,Manager,Project Management
381,Manager,Performance Management
382,Sales Executive,Negotiation
382,Sales Executive,Excel
382,Sales Executive,Lead Generation
384,Manufacturing Director,Supply Chain
384,Manufacturing Director,Lean Six Sigma
384,Manufacturing Director,Budgeting
384,Manufacturing Director,ERP
385,Research Director,Grant Writing
385,Research Director,Python
385,Research Director,R&D Strategy
385,Research Director,Leadership
386,Research Director,R&D Strategy
386,Research Director,Grant Writing
386,Research Director,Python
387,Sales Executive,Negotiation
387,Sales Executive,Communication
387,Sales Executive,Salesforce
388,Sales Executive,Negotiation
388,Sales Executive,Lead Generation
388,Sales Executive,Excel
388,Sales Executive,Salesforce
389,Laboratory Technician,Quality Control
389,Laboratory Technician,Sample Preparation
389,Laboratory Technician,Excel
390,Healthcare Representative,Patient Care
390,Healthcare Representative,Customer Service
391,Research Scientist,Data Analysis
391,Research Scientist,Statistics
391,Research Scientist,R
392,Laboratory Technician,Sample Preparation
392,Laboratory Technician,Data Entry
392,Laboratory Technician,Excel
392,Laboratory Technician,Quality Control
393,Healthcare Representative,Communication
393,Healthcare Representative,Patient Care
393,Healthcare Representative,Medical Records
394,Laboratory Technician,Excel
394,Laboratory Technician,Lab Safety
394,Laboratory Technician,Sample Preparation
395,Research Scientist,Machine Learning
395,Research Scientist,R
395,Research Scientist,Python
395,Research Scientist,Data Analysis
396,Research Director,R&D Strategy
396,Research Director,Grant Writing
397,Research Scientist,R
397,Research Scientist,Data Analysis
397,Research Scientist,Python
397,Research Scientist,Statistics
399,Sales Representative,Customer Service
399,Sales Representative,Communication
401,Sales Executive,Excel
401,Sales Executive,Communication
401,Sales Executive,Salesforce
403,Research Scientist,Machine Learning
403,Research Scientist,Lab Equipment
403,Research Scientist,Data Analysis
404,Sales Executive,CRM Software
404,Sales Executive,Lead Generation
404,Sales Executive,Communication
